indicators_harmonized,Categories,Categories_2,Subcategories,Subcategories_2,usage,meas
"proportion of terrestrial, freshwater and marine ecological regions which are conserved by protected areas or other effective area-based conservation measures",ecosystems,NA,Area conservation,NA,1,km_gbf
species threat abatement and restoration metric,biodiversity,NA,Species conservation,NA,1,km_gbf
changing status of evolutionary distinct and globally endangered species (edge index),biodiversity,NA,State of biodiversity,Change in biodiversity,1,km_gbf
red list index (internationally traded species and migratory species),biodiversity,NA,State of biodiversity,NA,1,km_gbf
number of invasive alien species in national lists as per the global register of introduced and invasive species,Invasive alien species,NA,Invasive alien species,NA,1,km_gbf
"trends in abundance, temporal occurrence, and spatial distribution of non-indigenous species, particularly invasive, non-indigenous species, notably in risk areas (in relation to the main vectors and pathways of spreading of such species)",biodiversity,Direct drivers,State of biodiversity,Invasive alien species,1,km_gbf
red list index (impacts of invasive alien species),biodiversity,Direct drivers,State of biodiversity,Invasive alien species,1,km_gbf
above-ground biomass stock in forest,ecosystems,NA,State of ecosystems (coverage),NA,1,km_gbf
changes in soil organic carbon stocks,ecosystems,NA,Change in ecosystems,NA,1,km_gbf
human appropriation of net primary productivity,ecosystems,Direct drivers,State of ecosystems (coverage),Land conversion,1,km_gbf
proportion of known species assessed through the red list index,biodiversity,NA,Species conservation,NA,1,km_gbf
number of assessments on the red list index,biodiversity,NA,Species conservation,NA,1,km_gbf
land tenure [in the traditional territories] of indigenous peoples and local communities [by sex and type of tenure],ecosystems,Knowledge systems,State of ecosystems,ILK,1,km_gbf
number of plant genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,biodiversity,NA,Genetic resources,NA,1,sdg
number of animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,biodiversity,NA,Genetic resources,NA,1,sdg
average marine acidity (ph) measured at agreed suite of representative sampling stations,ecosystems,NA,Abiotic conditions,NA,1,sdg
coverage of protected areas in relation to marine areas,ecosystems,NA,Area conservation,NA,1,sdg
"proportion of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type",ecosystems,NA,Area conservation,NA,1,sdg
coverage by protected areas of important sites for mountain biodiversity,ecosystems,NA,Area conservation,NA,1,sdg
the conservation status of species listed on the cites appendices has stabilized or improved,biodiversity,NA,Change in biodiversity,NA,1,cites
wild commodities index (migratory species),biodiversity,Knowledge systems,State of biodiversity,Information on biodiversity,1,cms
trends in threats to migratory species,biodiversity,Knowledge systems,State of biodiversity,Information on biodiversity,1,cms
red list index (migratory species),biodiversity,Knowledge systems,State of biodiversity,Information on biodiversity,1,cms
red list index (cms-listed bird species),biodiversity,Knowledge systems,State of biodiversity,Information on biodiversity,1,cms
