indicators_harmonized,km_gbf,sdg,cites,cms,iccwc,ramsar,unccd,policy,ipbes,Categories,Categories_2,Subcategories,Subcategories_2,usage,assess
biodiversity intactness index (hotspots),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
biodiversity intactness index (indigenous lands),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
"biodiversity intactness index (tropical forest, hotspots)",NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
"biodiversity intactness index (tropical forest, indigenous lands)",NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
biodiversity intactness index (tropical forest),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
"biodiversity with high potential for having bioactive principles for medicines or represent genetic resources useful for medicines agriculture or other purposes, that have been identified locally through ilk or by other knowledge systems at global levels for health treatments or other purposes (agriculture or other)",NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
biomass changes,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,Change in biodiversity,NA,1,ga
biomass estimates in forests,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of ecosystems (integrity),NA,1,ga
biomass turnover rate,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,Change in biodiversity,NA,1,ga
bird species per grid cell,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
capacity of ecosystem to filter (or add) constituent components (extent of vegetation),NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,Ecosystem services,State of ecosystems (coverage),Nature contribution,1,ga
change in extent of wetlands and inland water bodies,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,Change in ecosystems,NA,1,ga
change in mean fish size,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,Change in biodiversity,NA,1,ga
change in terrestrial biomass,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,Change in biodiversity,NA,1,ga
change in the extent of water-related ecosystems over time,1,1,NA,NA,NA,NA,NA,1,1,ecosystems,NA,State of ecosystems,Change in ecosystems,1,sua
coastal carbon-rich habitat,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of ecosystems,NA,1,ga
coastal forest distribution and extent,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of ecosystems,State of ecosystems (coverage),1,ga
coastal protection habitats,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,Area conservation,NA,1,ga
community-weighted mean trait value (cwm),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
coral reefs distribution and extent,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,State of ecosystems (marine),1,ga
coral solid units (number/year),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
coverage by protected areas of important sites for mountain biodiversity,NA,1,NA,NA,NA,NA,NA,1,1,ecosystems,NA,Area conservation,NA,2,ga
coverage by protected areas of important sites for mountain biodiversity,NA,1,NA,NA,NA,NA,NA,1,1,ecosystems,NA,Area conservation,NA,2,sua
coverage of protected areas in relation to marine areas,NA,1,NA,NA,NA,NA,NA,1,1,ecosystems,NA,Area conservation,NA,2,sua
coverage of protected areas in relation to marine areas,NA,1,NA,NA,NA,NA,NA,1,1,ecosystems,NA,Area conservation,NA,2,geo
cumulative introduced invasive aliens,NA,NA,NA,NA,NA,NA,NA,NA,1,Direct drivers,NA,Invasive alien species,NA,1,ga
desertification,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of ecosystems,Change in ecosystems,1,ga
diversity of biological controllers of pests,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
emergence (shannon’s information),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,Genetic diversity,NA,1,ga
enhanced vegetation index,NA,NA,NA,NA,NA,NA,NA,NA,NA,ecosystems,NA,State of ecosystems (integrity),NA,1,geo
environmental component of the social sustainability index,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of ecosystems (coverage),NA,1,ga
environmental performance index,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of ecosystems (coverage),NA,1,ga
equitability (commonness and rareness),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,Genetic diversity,NA,1,ga
evapotranspiration (model ensemble),NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,Abiotic conditions,NA,1,ga
existence of non-crop or urban in a place dominated by either,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of ecosystems (coverage),NA,1,ga
extent of coral reefs,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
extent of each ecoregion globally,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,Area conservation,NA,1,ga
extent of intact forest landscapes,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of ecosystems (integrity),NA,1,ga
extent of irrigated area,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of ecosystems,NA,1,ga
extent of marine calcification,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,Direct drivers,State of ecosystems,Pollution,1,ga
extent of marine vegetation,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of ecosystems (marine),NA,1,ga
extent of marine wilderness,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of ecosystems (marine),NA,1,ga
extent of suitable habitat,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of ecosystems,NA,1,ga
extent of suitable habitat (mammals),NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of ecosystems,NA,1,ga
extent of suitable habitat index (esh),NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of ecosystems (coverage),NA,1,ga
extent of terrestrial wilderness,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of ecosystems,NA,1,ga
farmland bird index,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,sua
floating plastic debris density,1,NA,NA,NA,NA,NA,NA,1,NA,ecosystems,Direct drivers,State of ecosystems (integrity),Pollution,1,geo
floating plastic litter density,NA,NA,NA,NA,NA,NA,NA,NA,NA,ecosystems,Direct drivers,State of ecosystems (integrity),Pollution,1,geo
forest area,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,State of ecosystems,NA,1,ga
forest area as a percentage of total land area,1,1,NA,NA,NA,NA,NA,1,1,ecosystems,NA,State of ecosystems (coverage),NA,3,ga
forest area as a percentage of total land area,1,1,NA,NA,NA,NA,NA,1,1,ecosystems,NA,State of ecosystems (coverage),NA,3,sua
forest area as a percentage of total land area,1,1,NA,NA,NA,NA,NA,1,1,ecosystems,NA,State of ecosystems (coverage),NA,3,geo
forest-specialist bird species per grid cell,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
fraction of ocean not fished per year,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,Direct drivers,State of ecosystems,Land conversion,1,ga
functional betadiversity,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
"functional diversity (fd), rarity, redundancy, vulnerability",NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
functional intactness (madingley),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
functional richness (madingley),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
gamma diversity (total diversity of species in a landscape),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
gene bank accession and available genetic resources,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,Genetic resources,NA,1,ga
genetic diversity,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,Genetic diversity,NA,1,va
genetic resources and especially agrodiversity known to date and its linkage to food security,NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,Genetic resources,NA,1,ga
genetic variation (cohesion),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,Genetic resources,NA,1,ga
genetic variation (complexity),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,Genetic resources,NA,1,ga
"genetic variation (connectance, numbers of links by the number of nodes)",NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,Genetic resources,NA,1,ga
genetic variation (dissimilarity),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,Genetic resources,NA,1,ga
genetic variation (hamming distance),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,Genetic resources,NA,1,ga
genetic variation (homeostasis),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,Genetic resources,NA,1,ga
genetic variation (nestedness),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,Genetic resources,NA,1,ga
genetic variation (self-organization),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,Genetic resources,NA,1,ga
glacial mass balance,NA,NA,NA,NA,NA,NA,NA,NA,1,ecosystems,NA,Change in ecosystems,NA,1,ga
global bird richness (csar),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
global ecosystem restoration index,1,NA,NA,NA,NA,NA,NA,1,1,ecosystems,NA,Area conservation,NA,1,ga
global forest-specialist bird richness (csar),NA,NA,NA,NA,NA,NA,NA,NA,1,biodiversity,NA,State of biodiversity,NA,1,ga
