indicators_harmonized,policy,assessment,sources,ipbes,usage,usage_policy,usage_assess,indic,indic_ext,var_ext,Categories,Categories_2,Subcategories,Subcategories_2,source
annual tropical primary tree cover loss,1,0,GBF,NA,1,1,0,1,NA,NA,ecosystems,NA,Change in ecosystems,NA,GBF
global ecosystem restoration index,1,1,"GA,GBF",1,2,1,1,1,1,NA,ecosystems,NA,Area conservation,NA,GBF
percentage of cropped landscapes with at least 10 % natural land,1,0,GBF,NA,1,1,0,1,NA,NA,ecosystems,NA,State of ecosystems,NA,GBF
status of key biodiversity areas,1,0,GBF,NA,1,1,0,1,NA,NA,biodiversity,NA,State of biodiversity,NA,GBF
"protected area downgrading, downsizing and degazettement (pd)",1,0,GBF,NA,1,1,0,1,NA,NA,ecosystems,NA,Change in ecosystems,NA,GBF
iucn green list of protected and conserved areas,1,0,GBF,NA,1,1,0,1,NA,NA,ecosystems,NA,Area conservation,NA,GBF
number of hectares of unesco designated sites (natural and mixed world heritage sites and biosphere reserves),1,0,GBF,NA,1,1,0,1,NA,NA,ecosystems,NA,Area conservation,NA,GBF
protected area and oecm management effectiveness (mepca) indicator,1,0,GBF,NA,1,1,0,1,NA,NA,ecosystems,Governance,Area conservation,Nature-based legislation,GBF
protected area isolation index (pai),1,0,GBF,NA,1,1,0,1,1,NA,ecosystems,NA,State of ecosystems (coverage),NA,GBF
protected areas network metric (pronet),1,0,GBF,NA,1,1,0,1,NA,NA,ecosystems,NA,Area conservation,NA,GBF
extent to which protected areas and other effective area-based conservation measures (oecms) cover key biodiversity areas that are important for migratory species,1,0,GBF,NA,1,1,0,1,NA,NA,ecosystems,biodiversity,State of ecosystems,State of biodiversity,GBF
coverage of protected areas and oecms and traditional territories (by governance type),1,0,GBF,NA,1,1,0,1,NA,NA,ecosystems,NA,Area conservation,NA,GBF
ramsar management effectiveness tracking tool (r-mett),1,0,GBF,NA,1,1,0,1,NA,NA,ecosystems,NA,Area conservation,Species conservation,GBF
"proportion of terrestrial, freshwater and marine ecological regions which are conserved by protected areas or other effective area-based conservation measures",1,0,GBF,NA,1,1,0,1,NA,NA,ecosystems,NA,Area conservation,NA,GBF
species threat abatement and restoration metric,1,0,GBF,NA,1,1,0,1,NA,NA,biodiversity,NA,Species conservation,NA,GBF
changing status of evolutionary distinct and globally endangered species (edge index),1,0,GBF,NA,1,1,0,1,1,NA,biodiversity,NA,State of biodiversity,Change in biodiversity,GBF
sustainable watershed and inland fisheries index,1,0,GBF,NA,1,1,0,1,1,NA,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA,GBF
red list index (internationally traded species and migratory species),1,0,GBF,NA,1,1,0,1,1,NA,biodiversity,NA,State of biodiversity,NA,GBF
marine stewardship council certified catch,1,1,"SUA,GBF",1,2,1,1,1,1,NA,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA,GBF
total catch of cetaceans under international convention for the regulation of whaling,1,0,GBF,NA,1,1,0,1,NA,NA,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA,GBF
proportion of legal and illegal wildlife trade consisting of species threatened with extinction,1,0,GBF,NA,1,1,0,1,NA,NA,Ecosystem services,Direct drivers,Specific monetary valuation of nature contribution,Specific mention of over-exploitation and unsustainable use of species/ecosystems,GBF
number of msc chain of custody certification holders by distribution country,1,0,GBF,NA,1,1,0,1,NA,NA,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA,GBF
trends of trade and commercialization in biodiversity-based products that is sustainable and legal (in line with biotrade principles and/or cites requirements),1,0,GBF,NA,1,1,0,1,NA,NA,Ecosystem services,NA,Specific mention of sustainable use of species/ecosystems,NA,GBF
