indicators_harmonized,ga_extracted,sua_extracted,va_extracted,ias_extracted,ipcc_extracted,geo_extracted,ILK_ext,indic_ext,var_ext
global sclae ecosystem carbon storage,1,NA,NA,NA,NA,NA,NA,1,NA
adaptive capacity index (aci),1,NA,NA,NA,NA,NA,NA,1,NA
oecd better life index,1,NA,NA,NA,NA,NA,NA,1,NA
sustainable development goals (sdg) index,1,NA,NA,NA,NA,NA,NA,1,NA
marine stewardship council certified fisheries,1,NA,NA,NA,NA,NA,NA,1,NA
cumulative human impacts on marine ecosystems,1,NA,NA,NA,NA,NA,NA,1,NA
average conservation status,1,NA,NA,NA,NA,NA,NA,1,NA
extent of suitable habitat index (esh),1,NA,NA,NA,NA,NA,NA,1,NA
species area relationship,1,NA,NA,NA,NA,NA,NA,1,NA
happy planet index,1,NA,NA,NA,NA,NA,NA,1,NA
gini index,1,NA,NA,NA,NA,NA,NA,1,NA
rule of law index,1,NA,NA,NA,NA,NA,NA,1,NA
water quality risk index,1,NA,NA,NA,NA,NA,NA,1,NA
mibid index,1,NA,NA,NA,NA,NA,NA,1,NA
commodity index,1,NA,NA,NA,NA,NA,NA,1,NA
index of sustainable economic welfare (isew),1,NA,1,NA,NA,NA,NA,1,NA
genuine progress indicator,1,NA,1,1,NA,NA,NA,1,NA
biodiversity barometer (% of respondents that have heard of biodiversity),1,NA,NA,NA,NA,NA,NA,1,NA
biodiversity barometer (% of respondents giving correct definition of biodiversity),1,NA,NA,NA,NA,NA,NA,1,NA
funding for environmental education,1,NA,NA,NA,NA,NA,NA,1,NA
online interest in biodiversity (proportion of google searches),1,NA,NA,NA,NA,NA,NA,1,NA
funding for environmental impact assessments,1,NA,NA,NA,NA,NA,NA,1,NA
number of research studies involving economic valuation,1,NA,NA,NA,NA,NA,NA,1,NA
world trade organisation greenbox agricultural subsidies,1,NA,NA,NA,1,1,NA,1,NA
funding towards institutional capacity building in fisheries,1,NA,NA,NA,NA,NA,NA,1,NA
human appropriation of fresh water,1,NA,NA,NA,NA,NA,NA,1,NA
wild bird index (habitat specialists),1,NA,NA,NA,NA,NA,NA,1,NA
red list index (forest specialists),1,NA,NA,NA,NA,NA,NA,1,NA
red list index (impacts of fisheries),1,NA,NA,NA,NA,NA,NA,1,NA
wild bird index (farmland birds),1,NA,NA,NA,NA,NA,NA,1,NA
area of agricultural land under organic production,1,NA,NA,NA,NA,NA,NA,1,NA
online interest inbiodiversity (proportion of google searches),1,NA,NA,NA,NA,NA,NA,1,NA
proportion of countries that are category 1 signatories to the convention on international trade in endangered species of wild fauna and flora (cites),1,NA,NA,NA,NA,NA,NA,NA,1
growth in human appropriation of net primary productivity,1,NA,NA,NA,NA,NA,NA,1,NA
demand for greener products and services,1,NA,NA,NA,NA,NA,NA,1,NA
green consumption,1,NA,NA,NA,NA,NA,NA,1,NA
annual rate of net forest loss,1,NA,NA,NA,NA,NA,NA,1,NA
climatic impact index,1,NA,NA,NA,NA,NA,NA,1,NA
proportion of sites in the world database on protected areas reporting shared governance,1,NA,NA,NA,NA,NA,NA,1,NA
number of extintions,1,NA,NA,NA,NA,NA,NA,NA,1
proportion of domesticated breeds categorized as at risk or extinct,1,NA,NA,NA,NA,NA,NA,NA,1
extinction risk of wild relatives of domesticated or farmed birds and mammals,1,NA,NA,NA,NA,NA,NA,NA,1
red list index (vertebrate pollinators),1,NA,NA,NA,NA,NA,NA,1,NA
number of countries implementing nbsaps,1,NA,NA,NA,NA,NA,NA,1,NA
numbers of scientific publications on biodiversity,1,NA,NA,NA,NA,NA,NA,1,NA
relevant research funding,1,NA,NA,NA,NA,NA,NA,1,NA
taxa assessed for the red list index,1,NA,NA,NA,NA,NA,NA,1,NA
