indic_id,indicators,indicators_harmonized
GA_2.3_sm_21,Amelioration of health problems caused by air pollution resulted from ecosystem contributions to air quality,amelioration of health problems caused by air pollution resulted from ecosystem contributions to air quality
GA_2.3_sm_22,Reduction in the number of deaths caused by air pollution reduction by ecosystems,reduction in the number of deaths caused by air pollution reduction by ecosystems
GA_2.3_sm_23,"Premature deaths caused by pollution emissions by natural sources, biomass burning, firewood use and agriculture","premature deaths caused by pollution emissions by natural sources, biomass burning, firewood use and agriculture"
GA_2.3_sm_24,Cost reduction with healthcare resulted from ecosystem contributions to air quality,cost reduction with healthcare resulted from ecosystem contributions to air quality
GA_2.3_sm_25,Cost reduction associated to prevented deaths caused by air pollution as consequence of ecosystems’ deposition of air pollutants,cost reduction associated to prevented deaths caused by air pollution as consequence of ecosystems’ deposition of air pollutants
GA_2.3_sm_26,Vegetation-atmosphere CO2 exchange,vegetation-atmosphere co2 exchange
GA_2.3_sm_27,Below- and above-ground biomass stocks,below- and above-ground biomass stocks
GA_2.3_sm_28,Leaf area index,leaf area index (lai)
GA_2.3_sm_29,Biomass changes,biomass changes
GA_2.3_sm_30,Remote sensed vegetation,remote sensed vegetation
GA_2.3_sm_31,Mechanistic models that quantify and disentangle effects of vegetation on climate and hydrological cycle,mechanistic models that quantify and disentangle effects of vegetation on climate and hydrological cycle
GA_2.3_sm_32,Atmospheric sounding,atmospheric sounding
GA_2.3_sm_33,Infiltrability,infiltrability
GA_2.3_sm_34,Air temperature Low-cost thermal imagery,air temperature low-cost thermal imagery
GA_2.3_sm_35,Soil organic carbon,soil organic carbon
GA_2.3_sm_36,Dust emissions,dust emissions
GA_2.3_sm_37,Net greenhouse gases emissions,net greenhouse gases emissions
GA_2.3_sm_38,Air-sea and sediment-water fluxes of carbon and CO2,air-sea and sediment-water fluxes of carbon and co2
GA_2.3_sm_39,Air-sea fluxes of other greenhouse gases such as dimethyl sulfide,air-sea fluxes of other greenhouse gases such as dimethyl sulfide
GA_2.3_sm_40,Dissolved organic carbon,dissolved organic carbon
GA_2.3_sm_41,CO2 removal from atmosphere,co2 removal from atmosphere
GA_2.3_sm_42,Net primary production,net primary production
GA_2.3_sm_43,Abundance of sulfate reducing microorganisms,abundance of sulfate reducing microorganisms
GA_2.3_sm_45,Carbon sequestration,carbon sequestration
GA_2.3_sm_46,Concentration of greenhouse gases in the atmosphere,concentration of greenhouse gases in the atmosphere
GA_2.3_sm_47,Prevented emissions and uptake of greenhouse gases by ecosystems,prevented emissions and uptake of greenhouse gases by ecosystems
GA_2.3_sm_48,Number of deaths caused by extreme climatic events,number of deaths caused by extreme climatic events
GA_2.3_sm_49,Food security and climate change,food security and climate change
GA_2.3_sm_50,Number of undernourished people,number of undernourished people
GA_2.3_sm_51,Crop production breaks caused by climate change,crop production breaks caused by climate change
GA_2.3_sm_52,"Economic impacts of climate change on specific aspects of regional economic activity, such as labour productivity, the supply of production factors such as capital, and changes in the structure of demand","economic impacts of climate change on specific aspects of regional economic activity, such as labour productivity, the supply of production factors such as capital, and changes in the structure of demand"
GA_2.3_sm_53,Extent of marine vegetation,extent of marine vegetation
GA_2.3_sm_54,Extent of marine calcification,extent of marine calcification
GA_2.3_sm_55,Air–sea and sediment–water fluxes of carbon and CO2,air-sea and sediment-water fluxes of carbon and co2
GA_2.3_sm_57,net primary production seaweed aquaculture,net primary production seaweed aquaculture
GA_2.3_sm_58,Extent of Coral Reefs,extent of coral reefs
GA_2.3_sm_59,Land use change that causes a change in ET,land use change that causes a change in et
GA_2.3_sm_60,Change in terrestrial biomass,change in terrestrial biomass
GA_2.3_sm_61,change in extent of wetlands and inland water bodies,change in extent of wetlands and inland water bodies
GA_2.3_sm_62,"Biotic mediation of air-surface-groundwater partitioning (water demand by vegetation, infiltration)","biotic mediation of air-surface-groundwater partitioning (water demand by vegetation, infiltration)"
GA_2.3_sm_63,Water availability,water availability
