indic_id,indicators,indicators_harmonized
GAsup23_NCP10_111,Avoided costs of pesticide use,avoided costs of pesticide use
GAsup23_NCP10_112,Avoided costs of health treatment of VBD,avoided costs of health treatment of vbd
GAsup23_NCP10_113,Reduced pesticide use,reduced pesticide use
GAsup23_NCP10_114,Reduced prevalence of VBD,reduced prevalence of vbd
GAsup23_NCP10_115,Diversity of biological controllers of pests,diversity of biological controllers of pests
GAsup23_NCP10_116,Diversity of competent hosts of vector-borne and zoonotic diseases,diversity of competent hosts of vector-borne and zoonotic diseases
GAsup23_NCP10_117,Abundance of wild and managed biological controllers of pests,abundance of wild and managed biological controllers of pests
GAsup23_NCP10_118,Abundance of competent hosts of vector-born and zoonotic diseases,abundance of competent hosts of vector-born and zoonotic diseases
GAsup23_NCP10_119,Avoided pest damage to crop and livestock,avoided pest damage to crop and livestock
GAsup23_NCP10_121,Reduced incidence rate of vector-borne and zoonotic diseases,reduced incidence rate of vector-borne and zoonotic diseases
GAsup23_NCP 11_122,"Tonnage of biomass (sugar cane, corn, palm oil)","tonnage of biomass (sugar cane, corn, palm oil)"
GAsup23_NCP 11_123,land area in biomass production,land area in biomass production
GAsup23_NCP 11_124,Tonnage of fuelwood,tonnage of fuelwood
GAsup23_NCP 11_125,biomass estimates in forests,biomass estimates in forests
GAsup23_NCP 11_126,Numbers of livestock and use rate,numbers of livestock and use rate
GAsup23_NCP 11_127,"Tonnage of biomass (sugar cane, corn, palm oil), other energy crops","tonnage of biomass (sugar cane, corn, palm oil), other energy crops"
GAsup23_NCP 11_129,Yield (production) in tonnage,yield (production) in tonnage
GAsup23_NCP 11_130,Biofuel yield in Joules or Liters,biofuel yield in joules or liters
GAsup23_NCP 11_131,"Biofuel yield in Joules or Liters from agricultural/horticultural residue, forestry industry residue, other organic residues or by-products from various industries/process","biofuel yield in joules or liters from agricultural/horticultural residue, forestry industry residue, other organic residues or by-products from various industries/process"
GAsup23_NCP 11_132,Biofuel yield in Joules or Liters from industrial effluents and/or municipal solid waste,biofuel yield in joules or liters from industrial effluents and/or municipal solid waste
GAsup23_NCP 11_133,Biofuel yield Joules or Liters from algal/microalgae biomass,biofuel yield joules or liters from algal/microalgae biomass
GAsup23_NCP 11_134,Population directly reliant on biomass,population directly reliant on biomass
GAsup23_NCP 11_135,KWH x price,kwh x price
GAsup23_NCP 11_136,Tons of oil equivalent x price,tons of oil equivalent x price
GAsup23_NCP 11_137,Land suitability and extent of bioenergy crop and livestock producing and harvesting areas,land suitability and extent of bioenergy crop and livestock producing and harvesting areas
GAsup23_NCP 11_138,Diversity and abundance of species for bioenergy use,diversity and abundance of species for bioenergy use
GAsup23_NCP 11_139,Energy content of bioenergy crops,energy content of bioenergy crops
GAsup23_NCP 11_140,Tonnage of animal waste used for energy,tonnage of animal waste used for energy
GAsup23_NCP 11_141,Increased energy security,increased energy security
GAsup23_NCP 11_142,Revenue from bioenergy production,revenue from bioenergy production
GAsup23_NCP 12_143,Yield per hectare converted to caloric or nutrient yield,yield per hectare converted to caloric or nutrient yield
GAsup23_NCP 12_144,Agrodiversity and landraces known to date for major crops,agrodiversity and landraces known to date for major crops
GAsup23_NCP 12_145,Remote sensing of croplands,remote sensing of croplands
GAsup23_NCP 12_146,Biodiversity richness,species richness
GAsup23_NCP 12_147,types of agroecosystems,types of agroecosystems
GAsup23_NCP 12_148,Landed catch (capture fisheries production),landed catch
GAsup23_NCP 12_149,Aquaculture production,aquaculture production
GAsup23_NCP 12_150,Quantity of fish produced for animal/aquaculture feed,quantity of fish produced for animal/aquaculture feed
GAsup23_NCP 12_151,Mean length of catch,mean length of catch
GAsup23_NCP 12_152,Large Fish Indicator,large fish indicator
GAsup23_NCP 12_153,TL of the landed catch,trophic level of the landed catch
GAsup23_NCP 12_154,Mean length of fish in the community,mean length of fish in the community
GAsup23_NCP 12_155,Proportion of Predatory fish in the community,proportion of predatory fish
GAsup23_NCP 12_156,TL of the community,trophic level of the community
GAsup23_NCP 12_157,Proportion of Non-declining species in the surveyed community,proportion of non-declining species in the surveyed community
GAsup23_NCP 12_158,Net Primary Production (NPP),net primary production
GAsup23_NCP 12_159,MTI (Marine Trophic Index),marine trophic index (mti)
GAsup23_NCP 12_160,Change in mean fish size,change in mean fish size
GAsup23_NCP 12_161,Proportion of fish stocks within biologically sustainable levels,proportion of fish stocks within biologically sustainable levels
GAsup23_NCP 12_162,Trends in fisheries certified by the MSC,trends in fisheries certified by the msc
GAsup23_NCP 12_163,Status of Assessed Fish Stocks,status of assessed fish stocks
GAsup23_NCP 12_164,IUU (Indicator of unsustainable fisheries),indicator of unsustainable fisheries (iuu)
GAsup23_NCP 12_165,Ocean Health Index,ocean health index
GAsup23_NCP 12_166,EBFM Performance Index,ebfm performance index
GAsup23_NCP 12_167,Fisheries Management Effectiveness Index,fisheries management effectiveness index
GAsup23_NCP 12_168,Fisheries Management Index,fisheries management index
GAsup23_NCP 12_169,Value of production,value of production
GAsup23_NCP 12_170,Value of catch,value of catch
GAsup23_NCP 12_171,"Nutritional output (calories, nutrients)","nutritional output (calories, nutrients)"
GAsup23_NCP 12_172,Farm size distribution,farm size distribution
GAsup23_NCP 12_173,Nutrition derived from fish,nutrition derived from fish
GAsup23_NCP 12_174,Fisheries revenues,fisheries revenues
GAsup23_NCP 12_175,Gross Value Added (GVA),gross value added (gva)
GAsup23_NCP 12_176,Potential catch loss,potential catch loss
GAsup23_NCP 12_177,Production of fish meal and fish oil use in aquaculture/animal feeds,production of fish meal and fish oil use in aquaculture/animal feeds
GAsup23_NCP 12_178,No. of jobs,number of jobs
GAsup23_NCP 12_179,Arable Land Remaining,arable land remaining
GAsup23_NCP 12_180,Fish Catch Potential,fish catch potential
GAsup23_NCP 12_181,kcal capita,kcal capita
GAsup23_NCP 12_182,Dietary Diversity,dietary diversity
GAsup23_NCP 12_183,Hunger,hunger
GAsup23_NCP 12_184,Malnutrition,malnutrition
GAsup23_NCP 13_185,Timber harvest (m3/ha/year),timber harvest (m3/ha/year)
GAsup23_NCP 13_186,Grass/Fodder (kg),grass/fodder (kg)
GAsup23_NCP 13_187,Bamboos and rattans Market value,bamboos and rattans market value
GAsup23_NCP 13_188,Market value,market value
GAsup23_NCP 13_189,Gums (Kg),gums (kg)
GAsup23_NCP 13_190,resins (Kg),resins (kg)
GAsup23_NCP 13_191,latexes (Kg),latexes (kg)
GAsup23_NCP 13_192,oil (Kg),oil (kg)
GAsup23_NCP 13_193,waxes (kg),waxes (kg)
GAsup23_NCP 13_194,tannins (Kg),tannins (kg)
GAsup23_NCP 13_195,dyes (Kg),dyes (kg)
GAsup23_NCP 13_196,cork (Kg),cork (kg)
GAsup23_NCP 13_197,bark (Kg),bark (kg)
GAsup23_NCP 13_198,cotton (t/ha),cotton (t/ha)
GAsup23_NCP 13_199,flax (t/ha/year)),flax (t/ha/year))
GAsup23_NCP 13_200,Jute Yields (t/ha/year),jute yields (t/ha/year)
GAsup23_NCP 13_201,Sisal Yields (t/ha/year),sisal yields (t/ha/year)
GAsup23_NCP 13_202,Hemp Yields (t/ha/year),hemp yields (t/ha/year)
GAsup23_NCP 13_203,Silk Cocoons (t/hear),silk cocoons (t/hear)
GAsup23_NCP 13_204,Coral Solid units (number/year),coral solid units (number/year)
GAsup23_NCP 13_205,Pearls Sold units (number/year),pearls sold units (number/year)
GAsup23_NCP 13_206,Shell Sold units (number/year),shell sold units (number/year)
GAsup23_NCP 13_207,Ornamental plants Sold units (number/year or kg/year),ornamental plants sold units (number/year or kg/year)
GAsup23_NCP 13_208,Pet fish Sold units (number and species diversity/year),pet fish sold units (number and species diversity/year)
GAsup23_NCP 13_209,Pet bird Sold units (number and species diversity/year),pet bird sold units (number and species diversity/year)
GAsup23_NCP 13_210,Pet reptile Sold units (number and species diversity/year),pet reptile sold units (number and species diversity/year)
GAsup23_NCP 13_211,Pet amphibian Sold units (number and species diversity/year),pet amphibian sold units (number and species diversity/year)
GAsup23_NCP 13_212,"Other living organism for assistance Number, stock density (number of horse/household)","other living organism for assistance number, stock density (number of horse/household)"
GAsup23_NCP 13_213,Health benefits provide by companion animals,health benefits provide by companion animals
GAsup23_NCP 13_214,"Supply of fiber crops, resins, gum arabic","supply of fiber crops, resins, gum arabic"
GAsup23_NCP 13_215,Trade of silk,trade of silk
GAsup23_NCP 13_216,"Production of industrial roundwood, paper pulps","production of industrial roundwood, paper pulps"
GAsup23_NCP 13_217,Export and import of commodity data,export and import of commodity data
GAsup23_NCP 13_218,Export and import data,export and import data
GAsup23_NCP 13_219,Number of traded live animals/plants listed in cites databases,number of traded live animals/plants listed in cites databases
GAsup23_NCP 13_220,Forest area,forest area
GAsup23_NCP 13_221,Land suitability and extent of cotton producing area,land suitability and extent of cotton producing area
GAsup23_NCP 13_222,Volume of round wood production,volume of round wood production
GAsup23_NCP 13_223,Tonnage of cotton production,tonnage of cotton production
GAsup23_NCP 13_224,Number of people employed in forest industry,number of people employed in forest industry
GAsup23_NCP 13_225,"Number of people employed in garment industry (include fibre, cotton industry)","number of people employed in garment industry (include fibre, cotton industry)"
GAsup23_NCP 14_226,MAP of Medicinal Plants overlaying plant richness at the global level,map of medicinal plants overlaying plant richness at the global level
GAsup23_NCP 14_227,Percentage of New drugs discovered over the last 30 years based on Natural Medicinal Products,percentage of new drugs discovered over the last 30 years based on natural medicinal products
GAsup23_NCP 14_228,"Biodiversity with high potential for having bioactive principles for medicines or represent genetic resources useful for medicines agriculture or other purposes, that have been identified locally through ILK or by other knowledge systems at global levels for health treatments or other purposes (agriculture or other)","biodiversity with high potential for having bioactive principles for medicines or represent genetic resources useful for medicines agriculture or other purposes, that have been identified locally through ilk or by other knowledge systems at global levels for health treatments or other purposes (agriculture or other)"
GAsup23_NCP 14_229,"Biodiversity richness at global level (Plants, Animals and Fungi, terrestrial and Marine)",species richness
GAsup23_NCP 14_230,Medicinal plants known to date and accessible for health care as a proxy for all Natural Medicinal Products (NMPs),medicinal plants known to date and accessible for health care as a proxy for all natural medicinal products (national medicines policies)
GAsup23_NCP 14_231,Genetic resources and especially agrodiversity known to date and its linkage to food security,genetic resources and especially agrodiversity known to date and its linkage to food security
GAsup23_NCP 14_232,More than 25% of new chemical entities developed for drugs for all diseases treated at the global level over the last 30 years are derived from natural products or chemical leads from NMPs and more than 70% of drugs to treat cancers derive directly from NMPs,more than 25% of new chemical entities developed for drugs for all diseases treated at the global level over the last 30 years are derived from natural products or chemical leads from national medicines policies and more than 70% of drugs to treat cancers derive directly from national medicines policies
GAsup23_NCP 14_233,Percentage of world population relying almost entirely on NMPs,percentage of world population relying almost entirely on national medicines policies
GAsup23_NCP 14_234,Percentage of modern drugs based on NMPs or bio-inspired molecules used for diseases at the global level,percentage of modern drugs based on national medicines policies or bio-inspired molecules used for diseases at the global level
GAsup23_NCP 14_235,"percentages of wild plant collection harvested, traded","percentages of wild plant collection harvested, traded"
GAsup23_NCP 14_236,New drugs production and sales,new drugs production and sales
GAsup23_NCP 14_237,Maps showing areas where humans mostly rely NMPs for health,maps showing areas where humans mostly rely national medicines policies for health
GAsup23_NCP 15_238,Biodiversity intactness index (for plants and vertebrates),biodiversity intactness index (for plants and vertebrates)
GAsup23_NCP 15_239,linguistic diversity index,linguistic diversity index
GAsup23_NCP 15_240,In situ genetic resources of interest to science and ex situ gene banks or genetic and or chemical related informations,in situ genetic resources of interest to science and ex situ gene banks or genetic and or chemical related informations
GAsup23_NCP 15_241,Ability of learning through direct proximity of people with nature in biodiversity-rich landscapes or agroecosystems,ability of learning through direct proximity of people with nature in biodiversity-rich landscapes or agroecosystems
GAsup23_NCP 15_242,"Elements (parts) of nature used in scientific experiments, from species to genes and their continued natural functional and evolutionary roles","elements (parts) of nature used in scientific experiments, from species to genes and their continued natural functional and evolutionary roles"
GAsup23_NCP 15_243,"care, mental health, cultural security, life-satisfaction","care, mental health, cultural security, life-satisfaction"
GAsup23_NCP 15_244,Diversity and economic value of bioinspired production,diversity and economic value of bioinspired production
GAsup23_NCP 15_245,Areas including all UoA where people mainly rely on Nature for their well being,areas including all uoa where people mainly rely on nature for their well being
GAsup23_NCP 15_246,Recognition of ILPCs lifestyles in close interaction with nature and their access to their lands and resources,recognition of ilpcs lifestyles in close interaction with nature and their access to their lands and resources
GAsup23_NCP 15_247,Human mobility to access different natural habitats for outdoor recreation,human mobility to access different natural habitats for outdoor recreation
GAsup23_NCP 15_248,Indirect access to natural products from natural habitats,indirect access to natural products from natural habitats
GAsup23_NCP 15_249,Creation of new rural urban network,creation of new rural urban network
GAsup23_NCP 16_250,Visitation rates of parks,visitation rates of parks
GAsup23_NCP 16_251,People in proximity to parks or natural areas,people in proximity to parks or natural areas
GAsup23_NCP 16_252,Indigenous lands,indigenous lands
GAsup23_NCP 16_253,Green space in cities,green space in cities
GAsup23_NCP 16_254,Area of natural and traditional landscapes and seascapes,area of natural and traditional landscapes and seascapes
GAsup23_NCP 16_255,"Number of protected areas, parks and gardens","number of protected areas, parks and gardens"
GAsup23_NCP 16_256,"Visitation rate to natural terrestrial, coastal and marine areas","visitation rate to natural terrestrial, coastal and marine areas"
GAsup23_NCP 16_257,"Increased awareness, care, mental health, cultural security, life-satisfaction","increased awareness, care, mental health, cultural security, life-satisfaction"
GAsup23_NCP 16_258,NA,NA
GAsup23_NCP 17_259,Abundance of slowly changing ecosystems (time past last land use change),abundance of slowly changing ecosystems (time past last land use change)
GAsup23_NCP 17_260,Identity value,identity value
GAsup23_NCP 17_261,Happyness,happyness
GAsup23_NCP 18_263,Quantitative genetic variation,quantitative genetic variation
GAsup23_NCP 18_264,Phenotypic variation,phenotypic variation
GAsup23_NCP 18_265,Neutral variation (markers not linked to traits under selection),neutral variation (markers not linked to traits under selection)
GAsup23_NCP 18_266,Non-neutral variation (markers linked to traits under selection),non-neutral variation (markers linked to traits under selection)
GAsup23_NCP 18_267,Phylogenetic variation (of genes or populations within species),phylogenetic variation (of genes or populations within species)
GAsup23_NCP 18_268,Demographic variation,demographic variation
GAsup23_NCP 18_269,"functional diversity (FD), rarity, redundancy, vulnerability","functional diversity (fd), rarity, redundancy, vulnerability"
GAsup23_NCP 18_270,community-weighted mean trait value (CWM),community-weighted mean trait value (cwm)
GAsup23_NCP 18_271,phylogenetic diversity (PD),phylogenetic diversity (pd)
GAsup23_NCP 18_272,overdisperion/ underdispersion,overdisperion/ underdispersion
GAsup23_NCP 18_273,taxonomic diversity and distinctness,taxonomic diversity and distinctness
GAsup23_NCP 18_274,"phylogenetic species richness (PSR), clustering (PSC), evenness (PSE), variability (PSV)","phylogenetic species richness (psr), clustering (psc), evenness (pse), variability (psv)"
GAsup23_NCP 18_275,number of species,number of species
GAsup23_NCP 18_276,equitability (commonness and rareness),equitability (commonness and rareness)
GAsup23_NCP 18_277,species abundance distribution,species abundance distribution
