indicator_harmonized,indic_id,var_indic,ILK
marine cloudiness over mc,IPCC_8_46_393,1,NA
surface moisture flux convergence,IPCC_8_46_393,1,NA
blocking index,IPCC_8_47_395,2,NA
water vapour residence time,IPCC_8_53_397,1,NA
plant water use efficiency (wue),IPCC_8_65_401,2,NA
leaf area index (lai),IPCC_8_65_401,2,NA
palmer drought severity index (pdsi),IPCC_8_66_403,2,NA
sea surface temperature (sst),IPCC_8_71_406,1,NA
rainfall variability,IPCC_8_77_414,1,NA
tropical precipitation,IPCC_8_83_420,1,NA
atmospheric internal variability,IPCC_8_88_422,1,NA
sea surface temperature (sst),IPCC_8_88_422,1,NA
volcanic eruptions,IPCC_8_90_424,1,NA
global surface air temperature (gsat),IPCC_9_11_426,2,NA
sea surface temperature (sst),IPCC_9_27_430,1,NA
ocean heat content ohc,IPCC_9_37_432,1,NA
arctic sea ice area,IPCC_9_37_433,2,NA
north atlantic oscillation (nao) index,IPCC_9_47_438,2,NA
greenland blocking index,IPCC_9_47_438,2,NA
bedrock topography,IPCC_9_48_440,1,NA
grounding line retreat,IPCC_9_55_443,1,NA
retreat of ice sheet,IPCC_9_59_445,1,NA
glacier mass loss,IPCC_9_65_447,1,NA
lake sediments,IPCC_9_66_448,1,NA
speleotherm records,IPCC_9_71_451,1,NA
leaf area index (lai),IPCC_9_76_452,2,NA
tide gauge,IPCC_9_85_462,1,NA
global mean sea level (gmsl),IPCC_9_96_465,1,NA
power dissipation index,IPCC_9_104_471,2,NA
spatiotemporal variability of meteorological parameters,IPCC_10_24_481,1,NA
soil moisture,IPCC_10_31_483,1,NA
leaf area index (lai),IPCC_10_31_483,1,NA
surface albedo,IPCC_10_31_483,1,NA
sedimentary records,IPCC_10_56_492,1,NA
atlantic multi-decadal variability (amv) index,IPCC_10_58_493,2,NA
temperature,IPCC_10_77_504,1,NA
extreme temperatures,IPCC_11_24_511,2,NA
daily precipitation,IPCC_11_25_512,2,NA
daily temperature,IPCC_11_25_512,2,NA
daily temperature,IPCC_11_37_520,2,NA
mean air temperature,IPCC_11_39_524,2,NA
"changes in the number of warm nights, warm days, cold nights, and cold days",IPCC_11_40_526,2,NA
warm spell duration index (wsdi),IPCC_11_40_526,2,NA
combined extreme index (cei),IPCC_11_40_527,2,NA
minimum temperature,IPCC_11_44_532,1,NA
reduction in post-volcanic eruption extreme precipitation,IPCC_11_50_537,2,NA
simple daily intensity index (sdii),IPCC_11_50_537,2,NA
highest five day precipitation amount (rx5day),IPCC_11_52_540,2,NA
highest one day precipitation amount (rx1day),IPCC_11_52_540,2,NA
days of heavy precipitation,IPCC_11_53_541,2,NA
annual precipitation from daily precipitation > 95th percentile (r95p),IPCC_11_53_541,2,NA
standardized precipitation index (spi),IPCC_11_58_543,2,NA
consecutive dry days (cdd),IPCC_11_58_543,2,NA
precipitation deciles and percentiles,IPCC_11_58_543,2,NA
potential evaporation anomalies,IPCC_11_58_543,2,NA
evaporative demand drought index (eddi),IPCC_11_58_543,2,NA
soil moisture anomalies,IPCC_11_58_543,2,NA
standardized soil moisture index (ssmi),IPCC_11_58_543,2,NA
standardized runoff index (sri),IPCC_11_58_543,2,NA
standardized streamflow index (ssi),IPCC_11_58_543,2,NA
threshold level methods,IPCC_11_58_543,2,NA
standardized groundwater index (sgi),IPCC_11_58_543,2,NA
standardized precipitation evapotranspiration index (spei),IPCC_11_58_543,2,NA
palmer drought severity index (pdsi),IPCC_11_58_543,2,NA
precipitation deficits,IPCC_11_58_544,2,NA
excess of atmospheric evaporative demand (aed),IPCC_11_58_544,2,NA
soil moisture deficits,IPCC_11_58_544,2,NA
hydrological deficits,IPCC_11_58_544,2,NA
atmospheric evaporative demand (aed),IPCC_11_60_547,1,NA
palmer drought severity index (pdsi),IPCC_11_60_549,2,NA
standardized precipitation evapotranspiration index (spei),IPCC_11_60_549,2,NA
standardized precipitation index (spi),IPCC_11_60_550,1,NA
number of consecutive dry days (cdd),IPCC_11_60_550,1,NA
total soil moisture,IPCC_11_60_550,1,NA
soil moisture-based drought events,IPCC_11_60_550,1,NA
surface soil moisture,IPCC_11_60_550,1,NA
water-balance estimates,IPCC_11_60_550,1,NA
changes in low flows,IPCC_11_60_550,1,NA
changes in mean streamflow,IPCC_11_60_550,1,NA
pan evaporation measurements,IPCC_11_61_551,1,NA
penman-monteith aed (atmospheric evaporative demand),IPCC_11_61_551,1,NA
genesis potential index,IPCC_11_78_568,2,NA
increase in global tc maximum surface wind speeds,IPCC_11_79_569,2,NA
power dissipation index,IPCC_11_79_569,2,NA
accumulated cyclone energy (ace),IPCC_11_79_569,2,NA
consecutive dry days (cdd),IPCC_11_93_579,2,NA
standardized runoff index (sri),IPCC_11_94_580,2,NA
heat index (hi),IPCC_12_7_581,2,NA
daily maximum tempreature above 35°c,IPCC_12_11_589,2,NA
climate velocity,IPCC_12_14_593,1,NA
accumulated seasonal heat,IPCC_12_14_594,2,NA
extreme canopy temperatures,IPCC_12_15_596,2,NA
2 m air temperatures,IPCC_12_15_596,2,NA
heat stress (humidity and temperature),IPCC_12_15_596,2,NA
10-day cumulative precipitation,IPCC_12_17_597,2,NA
precipitation intensity-duration thresholds,IPCC_12_17_598,2,NA
thresholds related to antecedent wet periods,IPCC_12_17_598,2,NA
thresholds related to antecedent extreme rainfall intensities,IPCC_12_17_598,2,NA
changes in soil moisture,IPCC_12_17_599,2,NA
changes in surface water,IPCC_12_17_599,2,NA
water table depth,IPCC_12_17_599,2,NA
rooting depth,IPCC_12_17_599,2,NA
changes in precipitation,IPCC_12_17_599,2,NA
changes in evapotranspiration demand,IPCC_12_17_599,2,NA
changes in groundwater,IPCC_12_17_599,2,NA
water flow volume,IPCC_12_17_600,2,NA
water intermittency thresholds,IPCC_12_17_600,2,NA
consecutive dry days (cdd),IPCC_12_17_601,2,NA
soil moisture,IPCC_12_17_601,2,NA
standardized precipitation index (spi),IPCC_12_17_601,2,NA
standardized runoff index (sri),IPCC_12_17_601,2,NA
standardized precipitation evapotranspiration index (spei),IPCC_12_17_601,2,NA
low-flows days,IPCC_12_17_601,2,NA
extreme low runoff,IPCC_12_17_601,2,NA
lightning frequency,IPCC_12_18_602,1,NA
fuel aridity,IPCC_12_18_602,1,NA
snow cover,IPCC_12_18_602,1,NA
local wind circulations,IPCC_12_18_602,1,NA
snow water equivalent at key seasonal dates,IPCC_12_19_604,2,NA
fraction of precipitation falling as snow,IPCC_12_19_604,2,NA
first and last days of snow cover,IPCC_12_19_604,2,NA
cold season temperatures,IPCC_12_19_604,2,NA
threshold when the local land elevation falls below the local mean higher high water (mhhw),IPCC_12_20_605,2,NA
threshold when flooding occurs about once every two weeks,IPCC_12_20_605,2,NA
rate of rslr (relative sea level rise),IPCC_12_20_605,2,NA
magnitude of shoreline retreat by a pre-determined planning horizon such as 50 or 100 years into the future,IPCC_12_20_606,2,NA
beach erosion volume due to the 100-year recurrence storm wave height,IPCC_12_20_606,2,NA
full exceedance probability distribution of coastal erosion volume,IPCC_12_20_606,2,NA
cumulative storm energy and storm power index,IPCC_12_20_606,2,NA
climatic impact-driver (cid) magnitude,IPCC_12_22_609,2,NA
climatic impact-driver (cid) frequency,IPCC_12_22_609,2,NA
climatic impact-driver (cid) duration,IPCC_12_22_609,2,NA
climatic impact-driver (cid) timing,IPCC_12_22_609,2,NA
climatic impact-driver (cid) spatial extent,IPCC_12_22_609,2,NA
change in # days tx>35°c,IPCC_12_24_613,2,NA
change in # days hi>41°c,IPCC_12_24_613,2,NA
change in # droughts,IPCC_12_24_613,2,NA
change in # soil moisture,IPCC_12_24_613,2,NA
change in mean wind,IPCC_12_24_613,2,NA
change in extreme total water level,IPCC_12_24_613,2,NA
areas below calcium carbonate saturation thresholds,IPCC_12_24_615,1,NA
heat index (hi),IPCC_12_27_618,2,NA
drought index (di),IPCC_12_43_640,2,NA
drought frequency (df),IPCC_12_43_641,2,NA
forest fire danger index (ffdi),IPCC_12_43_642,2,NA
c-haines index,IPCC_12_43_643,2,NA
forest fire danger index (ffdi),IPCC_12_43_643,2,NA
combined sea level due to storm surge and tide,IPCC_12_45_645,2,NA
growing degree days,IPCC_12_46_648,2,NA
cooling degree days,IPCC_12_46_648,2,NA
wet bulb globe temperature (wbgt) index,IPCC_12_49_649,2,NA
maximum temperatures,IPCC_12_49_649,2,NA
heat index (hi),IPCC_12_49_649,2,NA
cooling degree day index,IPCC_12_54_662,2,NA
heat stress index,IPCC_12_54_663,2,NA
wet bulb globe temperature (wbgt) index,IPCC_12_54_663,2,NA
heating degree day index,IPCC_12_56_664,2,NA
standardized precipitation index (spi),IPCC_12_57_665,2,NA
consecutive dry days (cdd),IPCC_12_57_665,2,NA
drought severity index,IPCC_12_57_666,2,NA
standardized precipitation index (spi),IPCC_12_57_666,2,NA
shoreline change (indicator of coastal erosion),IPCC_12_60_671,1,NA
humidity,IPCC_12_62_673,1,NA
monthly drought code fire index,IPCC_12_66_682,2,NA
fire weather index (fwi),IPCC_12_66_682,2,NA
maximum fire weather index,IPCC_12_66_682,2,NA
convective available potential energy and wind shear,IPCC_12_66_684,1,NA
degree heating weeks,IPCC_12_70_691,1,NA
degree heating months,IPCC_12_70_691,1,NA
wet bulb globe temperature (wbgt) index,IPCC_12_71_692,2,NA
maximum daytime heat index,IPCC_12_71_692,2,NA
regional deficit index,IPCC_12_72_695,2,NA
tide gauge,IPCC_12_73_700,1,NA
fire weather index (fwi),IPCC_12_79_710,2,NA
fire risk,IPCC_12_85_722,2,NA
heat index (hi),IPCC_12_85_724,2,NA
standardized precipitation evapotranspiration index (spei),IPCC_12_85_726,2,NA
wet bulb temperature,IPCC_12_88_731,1,NA
